codigo,placa,linha,latitude,longitude,velocidade,sentido,trajeto,timestamp
901008,,22,-22.96452,-43.391851,0.0,ida,22 - ALVORADA X J. OCEÂNICO (PARADOR) [IDA],2023-07-18 13:17:09
901011,RIV8A74,22,-23.000978,-43.36571,3.2,ida,22 - ALVORADA X J. OCEÂNICO (PARADOR) [IDA],2023-07-18 13:14:37
901018,,22,-23.006506,-43.314411,41.5,ida,22 - ALVORADA X J. OCEÂNICO (PARADOR) [IDA],2023-07-18 13:18:20
901012,,22,-23.000756,-43.364751,0.0,ida,22 - ALVORADA X J. OCEÂNICO (PARADOR) [IDA],2023-07-18 13:23:08
901014,,22,-22.964559,-43.3918,0.0,ida,22 - ALVORADA X J. OCEÂNICO (PARADOR) [IDA],2023-07-18 13:06:33
901007,,22,-23.000694,-43.334657,0.0,ida,22 - ALVORADA X J. OCEÂNICO (PARADOR) [IDA],2023-07-18 13:22:56
901009,,22,-23.001021,-43.36518,0.2,ida,22 - ALVORADA X J. OCEÂNICO (PARADOR) [IDA],2023-07-18 13:07:23
901013,,22,-23.00101,-43.365501,0.0,ida,22 - ALVORADA X J. OCEÂNICO (PARADOR) [IDA],2023-07-18 13:22:55
901010,RJM8G30,22,-23.000962,-43.366906,17.4,ida,22 - ALVORADA X J. OCEÂNICO (PARADOR) [IDA],2023-07-18 13:21:13
901015,,53,-23.00073,-43.364817,0.0,volta,53 - SENTIDO SULACAP (EXPRESSO) [VOLTA],2023-04-21 02:01:47
901047,,51,-22.964793,-43.39205,0.0,volta,51 - SENTIDO V. MILITAR (PARADOR) [VOLTA],2023-07-18 12:49:56
901017,,22,-23.006541,-43.315219,0.0,volta,22 - J. OCEÂNICO X ALVORADA (PARADOR) [VOLTA],2023-07-18 12:35:36
901063,,51,-23.008706,-43.44061,0.0,volta,51 - SENTIDO V. MILITAR (PARADOR) [VOLTA],2023-07-18 13:23:05
901006,RJA9F56,22,-22.965078,-43.391239,0.0,ida,22 - ALVORADA X J. OCEÂNICO (PARADOR) [IDA],2023-07-18 11:36:09
901005,RJB8E53,22,-23.000899,-43.364983,0.0,ida,22 - ALVORADA X J. OCEÂNICO (PARADOR) [IDA],2023-07-18 13:06:48
901004,RJQ8J80,22,-23.000245,-43.366915,23.8,volta,22 - J. OCEÂNICO X ALVORADA (PARADOR) [VOLTA],2023-07-18 13:14:12
902095,,35,-22.972563,-43.401636,0.0,ida,35 - MADUREIRA X ALVORADA (PARADOR) [IDA],2023-07-18 12:28:28
30504,,10,-23.020073,-43.502021,50.9,volta,10 - ALVORADA X SANTA CRUZ (EXPRESSO) [VOLTA],2023-07-18 13:23:01
47031,KYW5240,25,-23.008335,-43.442711,29.4,ida,25 - MATO ALTO X ALVORADA (PARADOR) [IDA],2023-07-18 13:22:56
30533,KWO8120,10,-23.001792,-43.365617,0.0,volta,10 - ALVORADA X SANTA CRUZ (EXPRESSO) [VOLTA],2023-07-18 12:19:51
47027,KRR2119,25,-22.992054,-43.59846,0.0,ida,25 - MATO ALTO X ALVORADA (PARADOR) [IDA],2023-07-18 13:23:06
86840,KOS9769,13,-22.919551,-43.607877,0.0,ida,13 - MATO ALTO X ALVORADA (EXPRESSO) [IDA],2023-04-21 05:01:35
30538,KXE7719,20,-23.00075,-43.365081,0.0,ida,20 - SANTA CRUZ X SALVADOR ALLENDE (EXPRESSO) [IDA],2023-07-18 13:23:05
13412,KPY9734,25,-23.000666,-43.366265,0.0,volta,25 - ALVORADA X MATO ALTO (PARADOR) [VOLTA],2023-07-18 13:23:12
50309,KPN6B05,12,-23.007611,-43.439498,32.9,ida,12 - PINGO D'AGUA X ALVORADA (EXPRESSO) [IDA],2023-07-18 13:23:02
12702,KXB8152,25,-22.919625,-43.608713,0.0,ida,25 - MATO ALTO X ALVORADA (PARADOR) [IDA],2023-07-05 02:11:48
12706,KXB8938,10,-22.920521,-43.607432,0.0,ida,10- SANTA CRUZ X ALVORADA ( EXPRESSO ),2023-03-31 11:02:04
47025,KXE8652,13,-22.919881,-43.607336,0.0,ida,13 - MATO ALTO X ALVORADA (EXPRESSO) [IDA],2023-07-07 17:18:49
30532,KYL8599,12,-23.000908,-43.366005,26.3,volta,12 - ALVORADA X PINGO D'AGUA (EXPRESSO) [VOLTA],2023-07-18 13:23:12
13423,LSI5976,12,-23.000655,-43.365744,0.0,volta,12 - ALVORADA X PINGO D'AGUA (EXPRESSO) [VOLTA],2023-07-18 13:23:14
13403,LTF5447,10,-23.009035,-43.445077,27.2,ida,10 - SANTA CRUZ X ALVORADA (EXPRESSO) [IDA],2023-07-18 13:23:05
47030,LSQ5263,10,-22.917854,-43.684233,0.0,ida,10 - SANTA CRUZ X ALVORADA (EXPRESSO) [IDA],2023-07-18 13:23:01
30519,LRE9804,0,-22.983177,-43.609137,59.6,,,2023-07-18 13:23:06
44732,LSG9592,25,-23.000703,-43.365483,9.5,volta,25 - ALVORADA X MATO ALTO (PARADOR) [VOLTA],2023-07-18 13:22:50
13409,KPY9733,10,-22.915786,-43.628365,0.0,ida,10- SANTA CRUZ X ALVORADA ( EXPRESSO ),2023-04-27 00:10:13
13424,KRL4069,11,-22.920197,-43.607648,0.0,ida,11 - SANTA CRUZ X ALVORADA (PARADOR),2023-07-18 13:15:09
90005,KWK6A89,0,-23.001831,-43.365854,0.0,,,2023-07-18 13:18:15
86851,KQO8674,14,-23.002324,-43.365244,0.0,ida,14 - SANTA EUGÊNIA X SALVADOR ALLENDE (EXPRESSO) [IDA],2023-07-18 12:36:06
86875,KQB4103,18,-22.920572,-43.607838,0.0,ida,18 - RECREIO SHOPPING X JARDIM OCEÂNICO (EXPRESSO) [IDA],2023-07-18 11:37:39
30518,KYL8597,25,-22.992807,-43.598098,0.0,ida,,2023-07-18 13:23:09
12707,LMI8079,12,-22.919866,-43.607431,0.0,ida,12 - PINGO D'AGUA X ALVORADA (EXPRESSO) [IDA],2023-05-20 08:02:01
902090,,35,-22.876365,-43.330318,0.0,ida,35 - MADUREIRA X ALVORADA (PARADOR) [IDA],2023-07-18 12:54:05
47029,LSQ5267,25,-22.991759,-43.598958,17.0,ida,25 - MATO ALTO X ALVORADA (PARADOR) [IDA],2023-07-18 13:17:58
A994324,LUN4324,0,-22.8198166,-43.2823508,0.0,,,2023-07-18 12:33:37
13420,KWI9708,12,-23.000869,-43.57641,58.1,volta,12 - ALVORADA X PINGO D'AGUA (EXPRESSO) [VOLTA],2023-07-18 13:23:03
A999574,LSD9574,0,-23.0009121,-43.3636843,0.0,,,2022-03-30 11:26:06
44717,KWW8818,18,-22.919874,-43.607744,0.0,ida,18 - RECREIO SHOPPING X JARDIM OCEÂNICO (EXPRESSO) [IDA],2023-06-06 03:02:47
12704,LSM8778,20,-22.920368,-43.607281,0.0,ida,20 - SANTA CRUZ X SALVADOR ALLENDE (EXPRESSO) [IDA],2023-06-08 10:00:34
47004,KQK7904,25,-23.020961,-43.492877,48.0,ida,25 - MATO ALTO X ALVORADA (PARADOR) [IDA],2023-07-18 13:22:58
27205,LSL9114,18,-22.919765,-43.608465,0.0,ida,18 - RECREIO SHOPPING X JARDIM OCEÂNICO (EXPRESSO) [IDA],2023-07-02 05:02:01
47012,KPZ8364,25,-22.993307,-43.597044,0.0,ida,25 - MATO ALTO X ALVORADA (PARADOR) [IDA],2023-07-18 13:22:57
47015,LRH8891,10,-22.919456,-43.607191,0.0,ida,10- SANTA CRUZ X ALVORADA ( EXPRESSO ),2023-04-18 20:25:44
86885,LTB5540,29,-23.001853,-43.365361,0.0,volta,29 - ALVORADA X S. ALLENDE (PARADOR) [VOLTA],2023-07-18 13:23:01
13414,KPY9731,25,-22.919539,-43.607846,0.0,ida,25 -  MATO ALTO X ALVORADA (PARAD0R) [IDA],2023-06-16 03:31:58
13425,KRL4070,25,-22.993964,-43.596236,0.0,ida,25 - MATO ALTO X ALVORADA (PARADOR) [IDA],2023-07-18 13:19:15
12738,KRR2404,10,-22.919954,-43.608298,0.0,ida,10 - SANTA CRUZ X ALVORADA (EXPRESSO) [IDA],2023-07-18 13:23:12
30502,LQT9173,19,-22.919615,-43.608327,0.0,ida,19 - PINGO D'AGUA X SALVADOR ALLENDE (EXPRESSO) [IDA],2023-05-28 01:05:53
86886,LTB5541,14,-23.000875,-43.365325,0.0,ida,14 - SANTA EUGÊNIA X SALVADOR ALLENDE (EXPRESSO) [IDA],2023-07-18 11:58:25
47032,KXE8654,25,-23.01589,-43.519666,59.6,ida,25 - MATO ALTO X ALVORADA (PARADOR) [IDA],2023-06-13 02:42:32
13428,KXE7712,10,-23.002333,-43.36707,0.1,volta,10 - ALVORADA X SANTA CRUZ (EXPRESSO) [VOLTA],2023-07-18 13:23:02
47006,KWZ8630,10,-23.02116,-43.495556,59.5,ida,10 - SANTA CRUZ X ALVORADA (EXPRESSO) [IDA],2023-07-18 13:23:14
KXE9191 PKP,KXE9191,0,-22.919991,-43.368026,0.0,,,2023-07-18 13:23:03
47007,LSP6018,10,-22.922222,-43.679715,3.4,ida,10 - SANTA CRUZ X ALVORADA (EXPRESSO) [IDA],2023-07-18 13:23:13
13413,KWI9711,0,-23.001784,-43.36593,0.0,,,2023-07-18 13:23:11
90001,KPZ5E15,0,-22.915855,-43.625816,50.6,,,2023-07-18 14:16:13
901057,,22,-23.006692,-43.313612,0.0,volta,22 - J. OCEÂNICO X ALVORADA (PARADOR) [VOLTA],2023-07-18 11:57:17
901003,RKM8C54,22,-23.003259,-43.324077,0.0,volta,22 - J. OCEÂNICO X ALVORADA (PARADOR) [VOLTA],2023-07-18 13:23:06
86874,KQB4102,10,-22.916368,-43.684714,9.1,ida,10 - SANTA CRUZ X ALVORADA (EXPRESSO) [IDA],2023-07-18 13:23:06
90003,KYN7F36,12,-23.000301,-43.414964,53.7,volta,12 - ALVORADA X PINGO D'AGUA (EXPRESSO) [VOLTA],2023-07-18 13:23:08
12711,LSO1629,10,-22.919951,-43.607173,0.0,ida,10- SANTA CRUZ X ALVORADA ( EXPRESSO ),2023-03-15 18:36:35
86809,LQH9072,10,-23.000533,-43.578029,59.6,volta,10 - ALVORADA X SANTA CRUZ (EXPRESSO) [VOLTA],2023-07-18 13:22:41
47011,LRH8889,10,-23.005288,-43.431803,46.3,volta,10 - ALVORADA X SANTA CRUZ (EXPRESSO) [VOLTA],2023-07-18 13:23:04
47009,KPZ8430,12,-23.007474,-43.54924,60.5,ida,12 - PINGO D'AGUA X ALVORADA (EXPRESSO) [IDA],2023-07-18 13:17:46
47014,KZI4452,10,-22.917411,-43.683333,0.5,ida,10 - SANTA CRUZ X ALVORADA (EXPRESSO) [IDA],2023-07-18 13:22:57
30537,KXE7720,10,-22.917957,-43.683619,0.1,ida,10 - SANTA CRUZ X ALVORADA (EXPRESSO) [IDA],2023-07-18 13:23:13
50301,KPP5B70,18,-23.006784,-43.31339,0.0,volta,18 - JARDIM OCEÂNICO X RECREIO SHOPPING (EXPRESSO) [VOLTA],2023-07-18 12:25:02
47005,LSV5862,0,-22.920479,-43.608309,0.0,,,2023-07-18 12:24:16
47018,LRS2843,12,-22.969586,-43.632745,26.5,volta,12 - ALVORADA X PINGO D'AGUA (EXPRESSO) [VOLTA],2023-07-18 13:23:05
30536,KXE7721,10,-22.920297,-43.60846,0.0,ida,10- SANTA CRUZ X ALVORADA ( EXPRESSO ),2023-06-03 21:26:10
44713,KPZ3559,0,-22.920769,-43.607891,0.0,,,2023-07-18 13:13:32
13401,KQO7822,13,-23.008124,-43.441567,35.5,ida,13 - MATO ALTO X ALVORADA (EXPRESSO) [IDA],2023-07-18 13:23:02
47021,KRM7686,20,-22.919605,-43.607079,0.0,ida,20 - SANTA CRUZ X SALVADOR ALLENDE (EXPRESSO) [IDA],2023-06-11 19:52:40
